0,2091,5609
40,5616,6025
80,4365,5369
120,6000,6601
160,6299,6317
200,5217,6401
240,5436,5745
280,5552,6887
320,6832,6327
360,4769,6687
400,6049,6127
440,986,7083
480,6384,6523
520,1151,2151
560,5601,6323
600,4349,5607
640,5936,6719
680,6235,6375
720,5153,6519
760,5436,5895
800,5488,6915
840,6768,6355
880,4705,6715
920,5985,6155
960,1047,2337
1000,6320,6551
1040,1151,2235
1080,5537,6351
1120,5436,5575
1160,5872,6747
1200,6171,6343
1240,5089,6547
1280,6369,5955
1320,5424,6943
1360,6704,6383
1400,4641,6743
1440,5921,6183
1480,982,2337
1520,6256,6579
1560,1151,2295
1600,5473,6379
1640,5436,5595
1680,5808,6775
1720,6091,6311
1760,5025,6575
1800,6305,6015
1840,5360,6971
1880,6640,6411
1920,4574,6771
1960,5857,6211
2000,990,2305
2040,6192,6607
2080,1151,2355
2120,5409,6407
2160,5436,5655
2200,5744,6803
2240,6027,6279
2280,4961,6603
2320,6241,6043
2360,5296,6999
2400,6576,6439
2440,4572,6799
2480,5793,6239
2520,4542,2273
2560,6128,6635
2600,1149,2415
2640,5345,6435
2680,5436,5715
2720,5680,6831
2760,6960,6247
2800,4897,6631
2840,6177,6071
2880,5232,7027
2920,6512,6467
2960,4572,5851
3000,5729,6267
3040,4478,5671
3080,6064,6663
3120,6363,2475
3160,5281,6463
3200,5436,5775
3240,5616,6859
3280,6896,6299
3320,4833,6659
3360,6113,6099
3400,5167,7055
3440,6448,6495
3480,954,5911
3520,5665,6295
3560,4414,5639
3600,6000,6691
3640,6299,6407
3680,5217,6491
3720,5436,5835
3760,5552,6887
3800,6832,6327
3840,4769,6687
3880,6049,6127
3920,986,7083
3960,6384,6523
4000,1151,2151
4040,5601,6323
4080,4349,5607
4120,5936,6719
4160,6235,6375
4200,5153,6519
4240,5436,5895
4280,5488,6915
4320,6768,6355
4360,4705,6715
4400,5985,6155
4440,1047,2337
4480,6320,6551
4520,1151,2235
4560,5537,6351
4600,5436,5575
4640,5872,6747
4680,6171,6343
4720,5089,6547
4760,6369,5955
4800,5424,6943
4840,6704,6383
4880,4641,6743
4920,5921,6183
4960,982,2337
5000,6256,6579
